Name,CategoryName,ImageUrl
Silver jewelry available ,Jewellery,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/a6d1b99d-b015-1290-f158-bb44cc6119ea.webp
GUCCI Wayfarer.,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/ac91c005-8875-97d9-cece-759b3e5cd4eb.jpeg
Polarized Rayban.,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/77e6d314-bbbf-07de-b6ae-5b626bb88143.jpeg
"Nike Air Force 1 Low EVO; Size: US 9, EUR 42.5",Men's Shoes,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/9f110742-a4d2-81ff-94ae-6d62f34ed6aa.webp
Pinjada jhumka,Women's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/e48a77c6-21cd-a95c-16c7-2a0c6f4fd2f9.jpg
Umbrella Jhumka,Women's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/5471f0b4-4c87-b012-f8be-36c1694e94c5.jpg
Pinjada Earrings,Jewellery,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/766df187-9f80-b7b6-fce6-92410bb5f924.jpg
Multicolor Earrings,Jewellery,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/370f7fb7-c09a-e8c1-3916-98aadb48a8b3.jpg
Beads Jhumka,Women's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/58476407-4b06-4d51-c096-3966157b3a58.jpg
Heavy Jhumka,Women's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/18/418abbfa-e7db-339b-92b5-f23f31e93a56.jpg
Pillow Massage Both  Home &car,Others,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/2b7bc853-7372-ee02-4c51-f5953c347661.jpeg
Apple Watch Seriese 5 Gps,Watches,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/3ef91b31-9681-09c8-295e-1a927c64f95b.jpeg
sunglasses,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/ac8274ab-9ac0-1562-9b66-21fe1823343c.jpg
adidas Men's Essentials 3 Stripes Woven Windbreake,Men's Clothing,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/67971879-4bb2-62a8-d7a4-27537bd33664.webp
hand made Prada,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/0e4ca07f-f100-5bd8-bcf9-795138b9fb35.jpg
chasma,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/fba53981-6990-dbdb-407b-a855994a922a.jpg
offer 2200,Men's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/f1e9897f-c9c4-8f98-21a7-d2abd5aac3d6.jpg
"Yamaha fz v1,black.2014 model",Others,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/ec17a916-ccf1-3311-6a5f-103c13129b35.webp
SAMSUNG WATCH 6 CLASSIC 47MM,Watches,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/858c23f3-e28a-e0a2-edc4-b3be7736975f.webp
Crochet Tote Bag,Women's Accessories,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/1e52ed27-2725-e22c-e7ac-7c64e816acac.webp
PUMA Wayfarer.,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/7274855d-aae1-b7f3-850d-b2b79929f5b3.jpeg
PRADA Ladies sunglasses.,Sunglasses,https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2024/08/17/51a4addb-2cc9-e67b-4587-fad242507e77.jpeg
